Title ,ROM,Year,Manufacturer,MAME Set,
Percussion Freaks 4th Mix (G*A25 VER. AAA),pcnfrk4m,2001,Konami,Merged,
Percussion Freaks 5th Mix (G*B05 VER. AAA),pcnfrk5m,2001,Konami,Merged,
Percussion Freaks 6th Mix (G*B16 VER. AAA),pcnfrk6m,2001,Konami,Merged,
Percussion Freaks 7th Mix (G*C07 VER. AAA),pcnfrk7m,2002,Konami,Merged,
Percussion Freaks 8th Mix (G*C38 VER. AAA),pcnfrk8m,2003,Konami,Merged,
Percussion Freaks 9th Mix (G*D09 VER. AAA),pcnfrk9m,2003,Konami,Merged,
Perestroika Girls,perestro,1994,Promat,Merged,
Perfect Billiard,pbillrd,1987,Nihon System (United Artists license),Merged,
Perfect Game (Russian),perfect,2000,WMS,Merged,
"Perfect MSX1 (MSX1, Middle East)",perfect1,1986,Bawareth,Merged,
Performan (Japan),perfrman,1985,Toaplan / Data East Corporation,Merged,
PERQ 1A,perq,1979,Three Rivers Company Corporation,Merged,
Personal Computer Pasopia PA7010,pasopia,1982,Toshiba,Merged,
Personal IRIS 4D/20,pi4d20,1988,Silicon Graphics,Merged,
Personal IRIS 4D/25,pi4d25,1989,Silicon Graphics,Merged,
Personal IRIS 4D/35,pi4d35,1991,Silicon Graphics,Merged,
Personal Speech System,votrpss,1982,Votrax,Merged,
Pesadelo (bootleg of Konami Knightmare),pesadelo,1989,bootleg (Forte II Games),Merged,
PET 2001-4,pet2001,1977,Commodore Business Machines,Merged,
PET 2001-B8,pet2001b,1979,Commodore Business Machines,Merged,
PET 2001-N8,pet2001n,1979,Commodore Business Machines,Merged,
PET 4016,pet4016,1980,Commodore Business Machines,Merged,
PET 4032B,pet4032b,1980,Commodore Business Machines,Merged,
PET 8032,pet8032,1980,Commodore Business Machines,Merged,
Pet Avenue - My room fantasy,jd367,1998?,Casio,Merged,
"Pet Shop (0100731V, NSW/ACT)",petshop,1998,Aristocrat,Merged,
Petaco,petaco,1984,Juegos Populares,Merged,
"Petaco (new hardware, set 1)",petacon,1985,Juegos Populares,Merged,
"Petaco (new hardware, set 2)",petacona,1985,Juegos Populares,Merged,
Petaco 2,petaco2,1985,Juegos Populares,Merged,
Peter Pack Rat,peterpak,1984,Atari Games,Merged,
Peter Pepper's Ice Cream Factory (DECO Cassette) (US) (set 1),cppicf,1984,Data East Corporation,Merged,
Petit Lot (ver. 4.1),petitlot,2001,Shoken,Merged,
PG-1000 Linear Synthesizer Programmer,pg1000,1987,Roland,Merged,
PGM (Polygame Master) System BIOS,pgm,1997,IGS,Merged,
Phantom (Fidelity),fphantom,1988,Fidelity International,Merged,
Phantom Haus (0.4),ph_04,1996,Williams,Merged,
Phantom II,phantom2,1979,Midway,Merged,
"Phantom Pays (0500005V, NSW/ACT)",phantpay,1995,Aristocrat,Merged,
"Phantom Pays (4VXFC5431, New Zealand)",phantomp,1998,Aristocrat,Merged,
"Phantom Pays Classic (0101003V, NSW/ACT)",phantpyc,2000,Aristocrat,Merged,
Phantom Ship,phntmshp,1987,Playmatic,Merged,
Pharaoh (L-2),pharo_l2,1981,Williams,Merged,
"Pharaoh's Fortune (40000921, NSW/ACT)",pharfor,2000,Aristocrat,Merged,
"Pharaoh's Gold (Astra, V005)",as_pharg,200?,Astra,Merged,
Pharaoh's Gold (Bellfruit) (Scorpion 4) (set 1),sc4pgold,200?,BFM,Merged,
Pharaoh's Gold Casino (Dutch) (Bellfruit) (Scorpion 4) (set 1),sc4pglcs,200?,BFM,Merged,
Pharaoh's Gold Club (Bellfruit) (Scorpion 4) (set 1),sc4pglcl,200?,BFM,Merged,
"Pharaoh's Gold Club (Bellfruit) (set 2, UK, 250GBP Jackpot) (Scorpion 2/3)",sc2cpg,199?,BFM,Merged,
Pharaoh's Mystery (USA v3.00),pharmyst,2007,LGT,Merged,
Pharaoh's Treasure (Maygay) (EPOCH) (set 1),ep_pharo,199?,Maygay,Merged,
Pharaohs Match (Arcadia),ar_pm,1988,Arcadia Systems,Merged,
Pharoah (Unk) (MPS),j2pharo,198?,<unknown>,Merged,
Phasor,phasor,2010,Linus Åkesson,Merged,
"PHC-2 (MSX1, France)",phc2,1985,Olympia,Merged,
PHC-20,phc20,1982,Sanyo,Merged,
"PHC-23 / Wavy23 (MSX2, Japan)",phc23,1986,Sanyo,Merged,
"PHC-23JB / Wavy23 (MSX2, Japan)",phc23jb,1987,Sanyo,Merged,
PHC-25 (Europe),phc25,1983,Sanyo,Merged,
"PHC-28 (MSX1, France)",phc28,1984,Olympia,Merged,
"PHC-28L (MSX1, France)",phc28l,1985,Sanyo,Merged,
"PHC-28S (MSX1, France)",phc28s,1984,Sanyo,Merged,
"PHC-35J / Wavy35 (MSX2+, Japan)",phc35j,1989,Sanyo,Merged,
"PHC-55FD2 / Wavy55FD2 (MSX2, Japan)",phc55fd2,1988,Sanyo,Merged,
"PHC-70FD2 / Wavy70FD2 (MSX2+, Japan)",phc70fd2,1989,Sanyo,Merged,
"PHC-77 / Wavy77 (MSX2, Japan)",phc77,1987,Sanyo,Merged,
Phelios,phelios,1988,Namco,Merged,
Philips 22VP931,22vp931,,,Merged,
Philips CDD2000 CD-R,cdd2000,,,Merged,
Philips P2000T,p2000t,1980,Philips,Merged,
Phineas and Ferb: Best Game Ever! (JAKKS Pacific TV Motion Game) (Sep 16 2009 17:36:00),jak_pf,2010,JAKKS Pacific Inc / HotGen Ltd,Merged,
"Phoenix (Amstar, set 1)",phoenix,1980,Amstar,Merged,
"Phoenix (JPM) (SYSTEM5, set 1)",j5phnx,199?,JPM,Merged,
Phoenix (L-1),phnix_l1,1978,Williams,Merged,
"Phoenix Fantasy (20197511, NSW/ACT)",phxfant,2005,Aristocrat,Merged,
Phoenix Gold (JPM) (IMPACT) (set 1),j6phxgld,199?,JPM,Merged,
Phoenix Gold De Luxe (JPM) (IMPACT),j6pnxgd,199?,JPM,Merged,
Phoenix Millennium (JPM) (IMPACT) (set 1),j6pnxmil,199?,JPM,Merged,
Photo Play 1998 (Spain),photoply98sp,1998,Funworld,Merged,
Photo Play 1999 (Spain),photoply99sp,1999,Funworld,Merged,
Photo Play 2000 (v2.01),photoply2k,2000,Funworld,Merged,
Photo Play 2001 (Italy),photoply2k1it,2001,Funworld,Merged,
Photo Play 2002 (Belgium),photoply2k2be,2002,Funworld,Merged,
Photo Play 2004,photoply2k4,2004,Funworld,Merged,
Photo Play Spirit Xtreme (Spanish),photopsxsp,2004,Funworld,Merged,
Photo Y2K / Chaoji Bi Yi Bi / Dajia Lai Zhao Cha / Real and Fake (ver. 105),photoy2k,1999,IGS,Merged,
Photo Y2K 2 / Chaoji Bi Yi Bi 2 / Dajia Lai Zhao Cha 2 / Real and Fake 2 Photo Y2K (M101XX 05/25/01 11:02:54),py2k2,2001,IGS,Merged,
Phozon (Japan),phozon,1983,Namco,Merged,
"Phraze Craze (6221-40, U5-3A, Expanded Questions)",phrcraze,1986,Merit,Merged,
PHUNSY,phunsy,1980,J.F.P. Philipse,Merged,
Phusion,phusion,2000,VTech,Merged,
Piaoliang Jinhua,pljh,2000,Sealy,Merged,
Piaoliang Jinhua 2,pljh2,200?,Sealy,Merged,
"Piccadilly Night (Nova, German) (set 1) (MPU4 Video)",v4picdil,199?,BWB (Nova license),Merged,
Pick 'n Win (Version 2.9E Dual),pickwin,2001,Amcoe,Merged,
Pick A Fruit (Dutch) (MPU4),m4pick,199?,<unknown>,Merged,
Pick Of The Bunch (Club?) (Global) (v1.9) (Scorpion 2/3),sc2pickc,199?,Global,Merged,
Pick Of The Bunch (Global) (v2.3) (Scorpion 2/3),sc2pick,199?,Global,Merged,
Pick Of The Pack (Bellfruit) (Scorpion 4) (set 1),sc4potp,200?,BFM,Merged,
Pick Of The Pack (Bellfruit) (Scorpion 5) (set 1),sc5potp,2005,BFM,Merged,
Pick Of The Pack (System 85),b85potp,199?,BFM,Merged,
Pick Yer Pesos (Maygay - Impulse) (EPOCH) (set 1),ep_pesos,199?,Maygay,Merged,
Pickin',pickin,1983,Valadon Automation,Merged,
Picky Talk - Super Denshi Techou,jd363,1995,Casio,Merged,
Picno,picno,1993,Konami,Merged,
Picno 2,picno2,1993,Konami,Merged,
Picture Magic,segapm,1996,Sega,Merged,
Pie Factory (Vivid) (MPU5) (set 1),m5piefac,199?,Vivid,Merged,
Pie Factory 2 (Vivid) (MPU5) (set 1),m5piefc2,199?,Vivid,Merged,
Pie Factory Rio (Vivid) (MPU5),m5piefcr,199?,Vivid,Merged,
Pieces Of Eight (V1.0) (Qps) (Scorpion 4) (set 1),sc4po8,200?,Qps,Merged,
Pied Piper Communicator 1,pp,1983,STM Electronics,Merged,
Pig Newton (version C),pignewt,1983,Sega,Merged,
Pig Out: Dine Like a Swine! (rev 2?),pigout,1990,Leland Corporation,Merged,
Piggy Bank (Maygay) (M1A/B) (set 1),m1piggy,199?,Maygay,Merged,
"Piggy Banking (Astra, V105)",as_pb,200?,Astra,Merged,
Piggy Pass (version 04.40),piggypas,1992,Doyle & Assoc.,Merged,
Pigskin 621AD (rev 1.1K 8/01/90),pigskin,1990,Midway,Merged,
Pikkari Chance,pikkaric,2000,Konami,Merged,
Pikorin 55,piko55,199?,Gametech,Merged,
Pile On The Pounds (Qps) (Scorpion 5) (set 1),sc5pilep,200?,Qps,Merged,
Pilot 1000,pilot1k,1996,U.S. Robotics,Merged,
"Pilot Kids (Model 2B, Revision A)",pltkids,1998,Psikyo,Merged,
Pimbal (Pinball 3000),pimbal,19??,Juegos Populares / Automáticos Montecarlo,Merged,
Pin Ball,jpinball,1986,Joctronic,Merged,
Pin Ups (Ver 1.0 Rev A),pinups,200?,Nazionale Elettronica,Merged,
Pin-Bot (L-5),pb_l5,1986,Williams,Merged,
Pinball,pinball,1977,Stern,Merged,
"Pinball (P8002, ABL TV Game)",ablpinb,2005,Advance Bright Ltd,Merged,
Pinball 2000: Revenge From Mars (rev. 1),rfmpb,1999,Midway,Merged,
Pinball 2000: Star Wars Episode 1,swe1pb,1999,Midway,Merged,
Pinball Action (set 1),pbaction,1985,Tehkan,Merged,
Pinball Champ,pinchamp,1983,Zaccaria,Merged,
Pinball Fever (Crystal) (IMPACT),j6pinfvr,199?,Crystal,Merged,
Pinball Lizard,lizard,1980,Game Plan,Merged,
Pinball Magic,pmv112,1995,Capcom,Merged,
"Pinball Nudger (Empire) (MPU4, set 1)",m4pbnudg,199?,Empire,Merged,
Pinball Pool,pinpool,1979,Gottlieb,Merged,
Pinball Wizard (JPM) (IMPACT) (set 1),j6pinwzd,199?,JPM,Merged,
"Pinball Wizard (Maygay M2, SW8-098 SW8148)",mg_pbw,1998,Maygay,Merged,
Pinbo (set 1),pinbo,1984,Jaleco,Merged,
PinBot (PlayChoice-10),pc_pinbt,1988,Rare (Nintendo of America license),Merged,
"Ping Pong / Table Tennis / Super Ping Pong (PP1100, ABL TV Game)",ablping,2006,Advance Bright Ltd,Merged,
Ping Pong Masters '93,ppmast93,1993,Electronic Devices S.R.L.,Merged,
Ping-Pong King,ppking,1985,Taito America Corporation,Merged,
Pingu's Ice Block (Ver.1.00 2006/01/27),pingu,2006,Pygos Group / Capcom,Merged,
Pink Panther,pnkpnthr,1981,Gottlieb,Merged,
Pink Panther (German) (Maygay) (M1A/B) (set 1),m1ppdt,199?,Maygay,Merged,
Pink Panther (Maygay) (M1A/B) (set 1),m1pinkp,199?,Maygay,Merged,
Pink Panther (Mazooma) (Scorpion 4) (set 1),sc4pp,200?,Mazooma,Merged,
Pink Panther (Mazooma) (Scorpion 5) (set 1),sc5pp,200?,Mazooma,Merged,
"Pink Panther (PR2283, QPSNPINK) (Mazooma) (Adder 5) (set 1)",ad5pp,200?,Mazooma,Merged,
"Pink Panther Break The Bank (PR2304, QPSNPPBB) (Qps) (Adder 5) (set 1)",ad5ppbtb,200?,Qps,Merged,
Pink Panther Clouseau's Revenge (Mazooma / QPS) (Scorpion 5) (set 1),sc5ppcr,200?,Mazooma / QPS,Merged,
Pink Panther Clouseau's Revenge (Mazooma) (Scorpion 4) (set 1),sc4ppcr,200?,Mazooma,Merged,
Pink Panther Club (411) (Qps) (Scorpion 4) (set 1),sc4ppclb,200?,Qps,Merged,
Pink Panther Club (Maygay) (M1A/B) (set 1),m1ppc,199?,Maygay,Merged,
Pink Panther Crack The Code (Bellfruit) (Scorpion 4) (set 1),sc4ppctc,200?,BFM,Merged,
Pink Panther Crack The Code (Bellfruit) (Scorpion 5) (set 1),sc5ppctc,200?,BFM,Merged,
Pink Panther Double Your Money (Mazooma / QPS) (Scorpion 5) (set 1),sc5ppdym,200?,Mazooma / QPS,Merged,
Pink Panther Double Your Money (Mazooma) (Scorpion 4) (set 1),sc4ppdym,200?,Mazooma,Merged,
Pink Panther Strikes Again (Mazooma) (Scorpion 4) (set 1),sc4ppsag,200?,Mazooma,Merged,
Pink Panther Strikes Again (Mazooma) (Scorpion 5) (set 1),sc5ppsag,200?,Mazooma,Merged,
Pink Pussy (Mdm) (MPU5),m5ppussy,199?,Mdm,Merged,
"Pink Sweets: Ibara Sorekara (Japan, 2006/04/06 MASTER VER....)",pinkswts,2006,Cave (AMI license),Merged,
Pinkiri 8,pinkiri8,1994,Alta,Merged,
Pinnacle (JPM) (MPS),j2pinac,198?,JPM,Merged,
Pinnacle Club (JPM) (MPS),j2pinclb,198?,JPM,Merged,
Pioneer Balloon,pballoon,1982,SNK,Merged,
Pioneer LD-V1000,ldv1000,,,Merged,
Pioneer PR-8210,pr8210,,,Merged,
PIPBUG,pipbug,1979,Signetics,Merged,
Pipe Dream (World),pipedrm,1990,Video System Co.,Merged,
Pipeline,pipeline,1990,Daehyun Electronics,Merged,
"Pipi & Bibis / Whoopee!! (Z80 sound cpu, set 1)",pipibibs,1991,Toaplan,Merged,
Piping Hot (Mazooma) (Scorpion 4) (set 1),sc4pipe,200?,Mazooma,Merged,
Pippin @mark,pippin,1996,Apple / Bandai,Merged,
Pirate (060803 World),pirate_3,2005,Igrosoft,Merged,
Pirate 2 (061005 World),pirate2,2006,Igrosoft,Merged,
Pirate 2001 (Version 2.5E Dual),pir2001,2001,Amcoe,Merged,
Pirate 2002 (Version 2.0E Dual),pir2002,2001,Amcoe,Merged,
Pirate Poker II (Version 2.4E Dual),pirpok2,2003,Amcoe,Merged,
Pirate Ship (ver UAA),piratesh,1995,Konami,Merged,
Pirate Ship Higemaru,higemaru,1984,Capcom,Merged,
Pirate Treasure,piratetr,1982,Pacific Polytechnical Corp. (Tong Electronic license),Merged,
"Pirates (10001511, NSW/ACT)",pirata6,2000,Aristocrat,Merged,
Pirates (set 1),pirates,1994,NIX,Merged,
Pirates Gold (JPM) (IMPACT) (set 1),j6pirgld,199?,JPM,Merged,
Pirates of the Caribbean - Islands of Fortune (JAKKS Pacific TV Game) (Jun 1 2007 12:34:28),jak_potc,2007,JAKKS Pacific Inc / HotGen Ltd,Merged,
"Pirates of the Caribbean v6.00 (English,French)",potc_600,2007,Stern,Merged,
Pirati,pirati,2001,Cin,Merged,
Pisces,pisces,19??,Subelectro,Merged,
Pistol Daimyo no Bouken (Japan),pistoldm,1990,Namco,Merged,
Pistol Poker (R02),pstlpkr,1993,Alvin G,Merged,
Pit & Run - F-1 Race (rev 1),pitnrun,1984,Taito Corporation,Merged,
Pit Boss II (9221-01C),pitboss2,1988,Merit,Merged,
Pit Boss Megastar (9244-00-01 R0B),pitbossm,1994,Merit,Merged,
Pit Boss Megatouch (9235-00-01 R0A),megat,1994,Merit,Merged,
"Pit Boss Megatouch II (9255-10-01 R0G, Standard version)",megat2,1994,Merit,Merged,
Pit Boss Superstar (9221-10-00B),pitbosss,1990,Merit,Merged,
"Pit Boss Superstar III 30 (9233-00-01 R0B, Standard version)",pbss330,1993,Merit,Merged,
Pit Boss Supertouch 30 (9234-10-01 R0),pbst30,1994,Merit,Merged,
Pit Fighter (rev 9),pitfight,1990,Atari Games,Merged,
Pit-Fighter (Tiger),tpitfight,1991,Tiger Electronics,Merged,
Pitapat Puzzle (set 1),pitapat,1997,F2 System,Merged,
Pitch Hitter - Baseball Challenge,pitchhit,1993,National Sports Games,Merged,
"Pitfall (Empire) (MPU4, set 1)",m4pitfal,199?,Empire,Merged,
Pitfall II (315-5093),pitfall2,1985,Sega,Merged,
Pittanko Zaurus,kzaurus,1995,Konami,Merged,
Pixter Multi-Media,pixtermu,2005,Mattel,Merged,
"Pizza The Action (Maygay) (EPOCH) (2.3, set 1)",ep_pizza,199?,Maygay,Merged,
PK - New Exciting Poker!,pkboram,1987,Boram,Merged,
PK Rainbow (v 1.5),pkrboram,1990,Boram,Merged,
PK Scramble,pkscram,1993,Cosmo Electronics Corporation,Merged,
PK Tetris (v346I),pktet346,1993?,IGS,Merged,
PK Turbo,tpkboram,1988,Boram,Merged,
PK Turbo Great 2,tpkg2,1992,Boram,Merged,
PK Turbo Special,pkts,19??,Boram,Merged,
PK-01 Lviv,lviv,1989,Lviv Polytechnical Institute,Merged,
PK-32,pk32,1991,Elektronika,Merged,
PK8000 Vesta,vesta,1987,BP EVM,Merged,
PK8020 Korvet,korvet,1987,<unknown>,Merged,
Place Your Bets (Barcrest) (MPU4) (PYB 0.7),m4placbt,199?,Barcrest,Merged,
Plan-80,plan80,1988,Tesla Eltos,Merged,
Planet Harriers (Rev A),pharrier,2000,Sega / Amusement Vision,Merged,
Planet Phatt - The Swing System,phatt,1997,E-mu Systems,Merged,
Planet Probe (prototype?),pprobe,1985,Crux / Kyugo?,Merged,
Plasma Sword: Nightmare of Bilstein (USA 980316),plsmaswd,1998,Capcom,Merged,
Platoon (V.3.1 US),aplatoon,1995,Nova?,Merged,
Play 2000 (Super Slot & Gran Tesoro) (v7.0i) (Italy),play2000,1999,Nova Desitec,Merged,
Play 4 Texas Hold'em,play4texash,2010,Sleic,Merged,
Play Girls,plgirls,1992,"Hot-B Co., Ltd.",Merged,
Play Girls 2,plgirls2,1993,"Hot-B Co., Ltd.",Merged,
Play It Again (Ace) (sp.ACE) (set 1),sp_playa,199?,Ace,Merged,
Play It Again Casino (Ace) (ACESYS1),ac1piaca,199?,Ace,Merged,
Play It Again Club (Ace) (ACESYS1) (set 1),ac1piacl,199?,Ace,Merged,
Play Portable Color GameU+ (108-in-1) (Japan),gameu108,201?,YSN,Merged,
Play Portable Color GameU+ (50-in-1) (Japan),gameu50,201?,YSN,Merged,
Play Portable Color GameU+ (90-in-1) (Japan),gameu90,201?,YSN,Merged,
Play Sonic 4,plsonic4,1991,SegaSA / Sonic,Merged,
Play TV Baseball (NTSC),rad_bb,2000,Radica / SSD Company LTD,Merged,
Play TV Baseball 2 (NTSC),rad_bb2,2002,Radica / SSD Company LTD,Merged,
Play TV Baseball 3,rad_bb3,2005,Radica / FarSight Studios,Merged,
Play TV Basketball,rad_bask,2005,Radica / FarSight Studios,Merged,
Play TV Bass Fishin' (NTSC),rad_bass,2001,Radica / SSD Company LTD,Merged,
Play TV Boxin' (NTSC),rad_box,200?,Radica / SSD Company LTD,Merged,
Play TV Buckmasters Huntin' (NTSC),rad_hnt,2000,Radica / SSD Company LTD,Merged,
Play TV Buckmasters Huntin' 2 (NTSC),rad_hnt2,2003,Radica / SSD Company LTD,Merged,
Play TV Card Night (NTSC),rad_crdn,200?,Radica / SSD Company LTD,Merged,
Play TV Football (NTSC),rad_fb,200?,Radica / SSD Company LTD,Merged,
Play TV Football 2,rad_fb2,2007,Radica,Merged,
Play TV Huntin' 3,rad_hnt3,2005,Radica / V-Tac Technology Co Ltd.,Merged,
Play TV Monster Truck (NTSC),rad_mtrk,2003,Radica / SSD Company LTD,Merged,
Play TV Opus (NTSC),rad_opus,2000,Radica / SSD Company LTD,Merged,
Play TV Ping Pong (NTSC),rad_ping,2000,Radica / SSD Company LTD / Simmer Technology,Merged,
Play TV Real Swing Golf,rad_rsg,2005,Radica / FarSight Studios,Merged,
Play TV Rescue Heroes (NTSC),rad_rh,200?,Radica / Fisher-Price / SSD Company LTD,Merged,
Play TV Skateboarder (NTSC),rad_skat,2006,Radica,Merged,
Play TV Snowboarder (Blue) (NTSC),rad_snow,2001,Radica / SSD Company LTD,Merged,
Play TV Snowboarder (White) (NTSC),rad_sbw,2006,Radica / SSD Company LTD,Merged,
Play TV SSX Snowboarder (NTSC),rad_ssx,2004,Radica / Electronic Arts / SSD Company LTD,Merged,
PlayBall! (prototype),playball,1983,Williams,Merged,
Playboy,playboy,1978,Bally,Merged,
"Playboy (CPU 5.00, display A5.00)",playboys,2002,Stern,Merged,
Playboy 35th Anniversary (2.4),play_a24,1989,Data East,Merged,
"PlayCenter Champions Tournament (v9.3, 'Epox' hardware)",plycntrchtr,2000,Recreativos Presas / Undergaming,Merged,
"Playcenter Evolution III (v14.0, 'Epox' hardware)",plycntre3,2004,Recreativos Presas / Undergaming,Merged,
PlayChoice-10 BIOS,playch10,1986,Nintendo of America,Merged,
"Player's Choice - By Demand (10223111, NSW/ACT)",pcbydem,2006,Aristocrat,Merged,
"Player's Choice - Favourites (20177311, NSW/ACT)",pcfavor,2004,Aristocrat,Merged,
"Player's Choice - Gold Edition (30291411, New Zealand)",pcgold,2010,Aristocrat,Merged,
"Player's Choice - Most Wanted (20234911, NSW/ACT)",pcmostw,2008,Aristocrat,Merged,
"Player's Choice - Original (30143011, NSW/ACT)",pcorig,2004,Aristocrat,Merged,
"Player's Choice - Platinum (20282111, New Zealand)",pcplat,2009,Aristocrat,Merged,
Player's Choice (MG0213) Multi-Game,pemg0213,1994,IGT - International Game Technology,Merged,
Player's Choice (MG0252) Multi-Game,pemg0252,1994,IGT - International Game Technology,Merged,
Player's Choice (PC644VZ) Standard Draw Poker,pc644vz,1987,IGT - International Game Technology,Merged,
Player's Choice RAM Clear,pcramclr,1987,IGT - International Game Technology,Merged,
Player's Edge (PK0719-PC092) Standard Draw Poker (El Cortez),pepk0719,1987,IGT - International Game Technology,Merged,
Player's Edge (PK0810-PC041) Joker Poker,pepk0810,1987,IGT - International Game Technology,Merged,
Player's Edge (PK0858-PC075) Deuces Wild Poker,pepk0858,1987,IGT - International Game Technology,Merged,
Player's Edge (PK1002-PC082) Jake's Jacks Bonus Poker,pepk1002,1987,IGT - International Game Technology,Merged,
Player's Edge (PK1015-PC088) 4 of a Kind Bonus Poker,pepk1015,1987,IGT - International Game Technology,Merged,
Player's Edge (PK1024-PC095) Aces and Faces Bonus Poker,pepk1024,1987,IGT - International Game Technology,Merged,
Player's Edge (PK1069-PC088) Double Bonus Poker,pepk1069,1987,IGT - International Game Technology,Merged,
Player's Edge Plus (BE0013) Blackjack,pebe0013,1994,IGT - International Game Technology,Merged,
Player's Edge Plus (IP0028) Joker Poker - French,peip0028,1987,IGT - International Game Technology,Merged,
Player's Edge Plus (IP0031) Standard Draw Poker - French,peip0031,1987,IGT - International Game Technology,Merged,
Player's Edge Plus (IP0041) Double Deuces Wild Poker - French,peip0041,1987,IGT - International Game Technology,Merged,
Player's Edge Plus (IVC006) Clear EEPROM Chip,peivc006,1987,IGT - International Game Technology,Merged,
Player's Edge Plus (KE0004) Keno (set 1),peke0004,1994,IGT - International Game Technology,Merged,
Player's Edge Plus (KE1001) Keno,peke1001,1994,IGT - International Game Technology,Merged,
Player's Edge Plus (PP0001) Standard Draw Poker,pepp0001,1987,IGT - International Game Technology,Merged,
Player's Edge Plus (PP0048) Joker Poker (set 1),pepp0048,1987,IGT - International Game Technology,Merged,
Player's Edge Plus (PP0054) Deuces Wild Poker (El Cortez),pepp0054,1987,IGT - International Game Technology,Merged,
Player's Edge Plus (PP0120) Wild Sevens Poker,pepp0120,1987,IGT - International Game Technology,Merged,
Player's Edge Plus (PP0127) Deuces Joker Wild Poker (set 1),pepp0127,1987,IGT - International Game Technology,Merged,
Player's Edge Plus (PP0130) Aces and Faces Bonus Poker (Grand Casino),pepp0130,1987,IGT - International Game Technology,Merged,
Player's Edge Plus (PP0158) 4 of a Kind Bonus Poker (set 1),pepp0158,1987,IGT - International Game Technology,Merged,
Player's Edge Plus (PP0232) Patriot Poker,pepp0232,1987,IGT - International Game Technology,Merged,
Player's Edge Plus (PP0250) Double Down Stud Poker (set 1),pepp0250,1987,IGT - International Game Technology,Merged,
Player's Edge Plus (PP0294) Aces and Faces Bonus Joker Poker,pepp0294,1987,IGT - International Game Technology,Merged,
Player's Edge Plus (PP0295) Super Deuces Wild Poker,pepp0295,1987,IGT - International Game Technology,Merged,
Player's Edge Plus (PP0434) Bonus Poker Deluxe (set 1),pepp0434,1987,IGT - International Game Technology,Merged,
Player's Edge Plus (PP0450) Loose Deuce Deuces Wild! Poker,pepp0450,1987,IGT - International Game Technology,Merged,
Player's Edge Plus (PP0452) Double Deuces Wild Poker (set 1),pepp0452,1987,IGT - International Game Technology,Merged,
Player's Edge Plus (PP0514) Double Bonus Poker (set 1),pepp0514,1987,IGT - International Game Technology,Merged,
Player's Edge Plus (PP0542) One Eyed Jacks Wild Poker (CG2243),pepp0542,1987,IGT - International Game Technology,Merged,
Player's Edge Plus (PP0596) Spades Sequential Royal Double Bonus Poker,pepp0596,1987,IGT - International Game Technology,Merged,
Player's Edge Plus (PP0598) Hearts Sequential Royal Double Bonus Poker,pepp0598,1987,IGT - International Game Technology,Merged,
Player's Edge Plus (PP0733) Double Aces and Faces Bonus Poker (Grand Casino),pepp0733,1987,IGT - International Game Technology,Merged,
Player's Edge Plus (PP0766 A5W-A6F) Standard Draw Poker,pekoc766,1995,IGT - International Game Technology,Merged,
Player's Edge Plus (PP0775) Royal Deuces Poker??,pepp0775,1987,IGT - International Game Technology,Merged,
Player's Edge Plus (PP0801 A5W-A6F) 10's or Better,pekoc801,1995,IGT - International Game Technology,Merged,
Player's Edge Plus (PP0802 A5W-A6F) Standard Draw Poker,pekoc802,1995,IGT - International Game Technology,Merged,
Player's Edge Plus (PP0803 A5W-A6F) Joker Poker,pekoc803,1995,IGT - International Game Technology,Merged,
Player's Edge Plus (PP0804 A5W-A6F) Bonus Poker Deluxe,pekoc804,1995,IGT - International Game Technology,Merged,
Player's Edge Plus (PP0806 A5W-A6F) Standard Draw Poker,pekoc806,1995,IGT - International Game Technology,Merged,
Player's Edge Plus (PP0816) Treasure Chest Poker,pepp0816,1987,IGT - International Game Technology,Merged,
Player's Edge Plus (PP0818 A5W-A6F) Joker Poker (Aces or Better),pekoc818,1995,IGT - International Game Technology,Merged,
Player's Edge Plus (PP0819 A5W-A6F) Bonus Poker Deluxe,pekoc819,1995,IGT - International Game Technology,Merged,
Player's Edge Plus (PP0822 A5W-A6F) Standard Draw Poker,pekoc822,1995,IGT - International Game Technology,Merged,
Player's Edge Plus (PP0825 A59-A7C) White Hot Aces,pekoc825,1995,IGT - International Game Technology,Merged,
Player's Edge Plus (PS0014) Super Joker Slots,peps0014,1996,IGT - International Game Technology,Merged,
Player's Edge Plus (PS0021) Red White & Blue Slots,peps0021,1996,IGT - International Game Technology,Merged,
Player's Edge Plus (PS0040) Jackpot Jungle Slots,peps0040,1996,IGT - International Game Technology,Merged,
Player's Edge Plus (PS0042) Double Diamond Slots,peps0042,1996,IGT - International Game Technology,Merged,
Player's Edge Plus (PS0047) Wild Cherry Slots,peps0047,1996,IGT - International Game Technology,Merged,
Player's Edge Plus (PS0048) Double Jackpot Slots,peps0048,1996,IGT - International Game Technology,Merged,
Player's Edge Plus (PS0070) Hurricane Slots,peps0070,1996,IGT - International Game Technology,Merged,
Player's Edge Plus (PS0086) Earth Quake Slots,peps0086,1996,IGT - International Game Technology,Merged,
"Player's Edge Plus (PS0090) Gold, Silver & Bronze Slots",peps0090,1996,IGT - International Game Technology,Merged,
Player's Edge Plus (PS0239) Jackpot Jewels Slots,peps0239,1996,IGT - International Game Technology,Merged,
Player's Edge Plus (PS0267) Spin Til You Win Slots,peps0267,1996,IGT - International Game Technology,Merged,
