Title ,ROM,Year,Manufacturer,MAME Set,
630 Games in 1 Handheld (T3),t3_630,202?,<unknown>,Merged,
630 MTG,att630,1986,AT&T,Merged,
6300 Plus,att6300p,1985,AT&T,Merged,
64th. Street: A Detective Story (World),64street,1991,Jaleco,Merged,
68000 Educational Computer Board,mex68kecb,1981,Motorola,Merged,
6809 Portable,d6809,1983,Dunfield,Merged,
68k Single Board Computer,68ksbc,2002,Wichit Sirichote,Merged,
7 Deadly Bins (Ace) (IMPACT),j6svndb,199?,Ace,Merged,
7 e Mezzo,7mezzo,198?,<unknown>,Merged,
7 Gold,7gold,200?,<unknown>,Merged,
7 in 1 Sports Stadium,t7in1ss,1982,Tiger Electronics,Merged,
7 Ordi (Korea),7ordi,2002,Yun Sung,Merged,
7 Smash (set 1),7smash,1993,Sovic,Merged,
707 Performing Synthesizer,korg707,1987,Korg,Merged,
7120,basf7120,1982,BASF,Merged,
720 Degrees (rev 4),720,1986,Atari Games,Merged,
721 Display Terminal,cdc721,1981,Control Data Corporation,Merged,
730X,att730x,1990,AT&T,Merged,
777 Heaven (Project) (PROCONN),pr_7hvn,199?,Project,Merged,
777 Heaven (Scorpion 5),sc5_3515,200?,BFM,Merged,
"777777 in 1 (8 bit Slim Station, NEWPXP-DVT22-A PCB)",mc_7x6ss,200?,<unknown>,Merged,
7951om,7951om,1987,Mera-Elzab,Merged,
7jigen no Youseitachi - Mahjong 7 Dimensions (Japan),7jigen,1990,Dynax,Merged,
800-3 Junior,elwro800,1986,Elwro,Merged,
86 Lions,86lions,1985,Aristocrat,Merged,
"888888 in 1 (8 bit Slim Station, NEWPXP-DVT22-A PCB)",mc_8x6ss,200?,<unknown>,Merged,
888888 in 1 (Coolboy AEF-390),mc_8x6cb,200?,CoolBoy,Merged,
89 in 1 Mini Game Console (060-92023011V1.0),mc_89in1,201?,<unknown>,Merged,
9-Ball Shootout (set 1),9ballsht,1993,E-Scape EnterMedia (Bundra license),Merged,
9161 Display Processor Unit,e9161,198?,Ericsson,Merged,
9835A,hp9835a,1979,Hewlett-Packard,Merged,
9845A,hp9845a,1977,Hewlett-Packard,Merged,
9845B,hp9845b,1979,Hewlett-Packard,Merged,
9845C,hp9845c,1980,Hewlett-Packard,Merged,
9845T,hp9845t,1982,Hewlett-Packard,Merged,
999,changyu2,1991?,Chang Yu Electronic,Merged,
999999 in 1 (PXP2 Slim Station),mc_9x6ss,200?,<unknown>,Merged,
A Day At The Races (Maygay) (M1A/B) (set 1),m1races,199?,Maygay,Merged,
A Day In Space (31/03/87),mag_day,1987,EFO SA / Cedar,Merged,
"A Few Dollars More (Empire) (MPU5) (v0.2, set 1)",m5fewmor,199?,Empire,Merged,
A Fish Called Wonga (Empire) (MPU5),m5wonga,199?,Empire,Merged,
A Nightmare On Elm Street (Bellfruit) (Scorpion 4) (set 1),sc4nmare,200?,BFM,Merged,
A Nightmare On Elm Street (Bellfruit) (Scorpion 5) (set 1),sc5nmare,200?,BFM,Merged,
"A Question of Sport (set 1, 39-960-107)",qos,1992,BFM,Merged,
A-Plan,aplan,1993,WeaShing H.K.,Merged,
A. D. 2083,ad2083,1983,Midcoin,Merged,
A.B. Cop (World) (FD1094 317-0169b),abcop,1990,Sega,Merged,
"A.G. Soccer Ball (R18u, 2.5L sound)",agsoccer,1991,Alvin G,Merged,
A1510 186 User Processor,lft1510,1986,L/F Technologies,Merged,
A5120,a5120,1982,VEB Robotron,Merged,
A7150,a7150,1986,VEB Robotron,Merged,
Aaargh (Arcadia),ar_argh,1988,Arcadia Systems,Merged,
Aamber Pegasus,pegasus,1981,Technosys,Merged,
Aaron Spelling (1.01),aar_101,1992,Data East,Merged,
AB-PI4 / AB-PI4T (SiS 85C496/85C497),abpi4,1995,ABit,Merged,
AB-PM4 (SiS 85C496/85C497),abpm4,1995,ABit,Merged,
AB-PV4 (SiS 85C496/85C497),abpv4,1995,ABit,Merged,
Abacus (Ver 1.0),abacus,2001,Nazionale Elettronica,Merged,
ABC 1600,abc1600,1985,Luxor,Merged,
ABC 1600 MAC,abc1600mac,,,Merged,
ABC 1600 Mover,abc1600mover,,,Merged,
ABC 80,abc80,1978,Luxor Datorer AB,Merged,
ABC 80 Keyboard,abc80kb,,,Merged,
ABC 800 C/HR,abc800c,1981,Luxor Datorer AB,Merged,
ABC 802,abc802,1983,Luxor Datorer AB,Merged,
ABC 806,abc806,1983,Luxor Datorer AB,Merged,
ABC 830,abc830,,,Merged,
ABC 832,abc832,,,Merged,
ABC 834,abc834,,,Merged,
ABC 838,abc838,,,Merged,
ABC 850 Floppy,abc850flop,,,Merged,
ABC FD2,abc_fd2,,,Merged,
ABC SIO,abcsio,,,Merged,
ABC-800 Keyboard,abc800kb,,,Merged,
Ably-Tech FDC-344,fdc344,,,Merged,
Abnormal Check,abcheck,1996,Namco,Merged,
Abracadabra (BWB) (MPU4) (20/25/30p stake / £10/£15 jackpot) (set 1),m4abra,199?,BWB,Merged,
"Abracadabra (Qps) (Scorpion 4) (set 1, 041)",sc4abra,200?,Qps,Merged,
Abunai Houkago - Mou Matenai (Japan 890325),abunai,1989,Green Soft,Merged,
ACB-2072 RLL Drive Controller,acb2072,,,Merged,
"Acchi Muite Hoi Battle (Japan, ver 1.04)",amhbattl,2006,Amuzy Corporation,Merged,
Acclaim ZN-1,coh1000a,1995,Acclaim,Merged,
Accord,accord,1987,Novag Industries / Intelligent Heuristic Programming,Merged,
Acculogic sIDE-1/16 IDE Disk Controller,side116,,,Merged,
Ace,ace,1976,Allied Leisure,Merged,
Ace Attacker (FD1094 317-0059),aceattac,1988,Sega,Merged,
Ace Chase (BWB) (MPU3),m3acech,198?,BWB,Merged,
"Ace Chase (BWB) (MPU4) (AE5 2.0, set 1)",m4acechs,199?,BWB,Merged,
Ace Driver 3: Final Turn,acedriv3,2008,Namco,Merged,
"Ace Driver: Racing Evolution (World, AD2)",acedrive,1994,Namco,Merged,
"Ace Driver: Victory Lap (World, ADV2 Ver.B)",victlap,1996,Namco,Merged,
ACE Joy Connect,arc_acejoy,,,Merged,
Ace Kimeruze! Excite Tennis (Japan),epo_tenn,2002,Epoch / SSD Company LTD,Merged,
"Ace Of Clubs (Crystal) (IMPACT, GND D 4)",j6aceclb,199?,Crystal,Merged,
"Ace Of Clubs (Empire) (MPU5, set 1)",m5aceclb,199?,Empire,Merged,
ACE sp.ACE Reel Controller PCB,ace_sp_reelctrl,,,Merged,
ACE sp.ACE Reel Controller PCB (PCP clone),ace_sp_reelctrl_pcp,,,Merged,
Aceex 2814,aceex2814,1995,Aceex Corporation,Merged,
Aces High (Ace) (IMPACT),j6acehi,199?,Ace,Merged,
Aces High (Mazooma) (Scorpion 4) (set 1),sc4acesh,200?,Mazooma,Merged,
Acorn 16032 2nd processor (prototype),bbc_tube_16032,,,Merged,
Acorn 1770 FDC,bbc_acorn1770,,,Merged,
Acorn 32016 2nd processor,bbc_tube_32016,,,Merged,
Acorn 6502 2nd Processor,bbc_tube_6502,,,Merged,
Acorn 6502 2nd Processor (pre-production),bbc_tube_6502p,,,Merged,
Acorn 65C102 Co-Processor,bbc_tube_65c102,,,Merged,
Acorn 80186 Co-Processor,bbc_tube_80186,,,Merged,
Acorn 80286 2nd Processor,bbc_tube_80286,,,Merged,
Acorn 80x25 VDU Interface,acorn_vdu80,,,Merged,
Acorn 8721 FDC,bbc_acorn8271,,,Merged,
Acorn A3010,aa3010,1992,Acorn Computers,Merged,
Acorn A500 (Dual MEMC) 2nd Processor,bbc_tube_a500d,,,Merged,
Acorn A500 2nd Processor,bbc_tube_a500,,,Merged,
Acorn A500 Development System,aa500,1986,Acorn Computers,Merged,
Acorn A5000,aa5000,1991,Acorn Computers,Merged,
Acorn A680 UNIX Evaluation System,aa680,1988,Acorn Computers,Merged,
Acorn AEH50 Ethernet II,arc_ether2_aeh50,,,Merged,
Acorn AEH54 10Base2 Ethernet Podule,arc_ether3_aeh54,,,Merged,
Acorn AGA30 BBC I/O Podule,arc_bbcio_aga30,,,Merged,
Acorn AKA05 ROM (with DiscLess Bootstrap support),arc_rom_r225,,,Merged,
Acorn AKA05 ROM Podule,arc_rom_aka05,,,Merged,
Acorn AKA10 BBC I/O Podule,arc_bbcio_aka10,,,Merged,
Acorn AKA12 User Port/MIDI Podule,arc_upmidi_aka12,,,Merged,
Acorn AKA15 MIDI and BBC I/O Podule,arc_iomidi_aka15,,,Merged,
Acorn AKA16 MIDI Podule,arc_midi_aka16,,,Merged,
Acorn AKA25 Ethernet,arc_ether1_aka25,,,Merged,
Acorn AKA30 SCSI Expansion Card,arc_scsi_aka30,,,Merged,
Acorn AKA31 SCSI Expansion Card,arc_scsi_aka31,,,Merged,
Acorn AKA32 CDFS & SCSI Expansion Card,arc_scsi_aka32,,,Merged,
Acorn AKD52 Hard Disc Podule,arc_hdisc_akd52,,,Merged,
Acorn Archimedes Keyboard,archimedes_keyboard,,,Merged,
Acorn Bitstik,bbc_bitstik1,,,Merged,
Acorn Communicator,accomm,1986,Acorn Computers,Merged,
Acorn Electron,electron,1983,Acorn Computers,Merged,
Acorn Extended 6502 2nd Processor,bbc_tube_6502e,,,Merged,
Acorn FileStore E01,econet_e01,,,Merged,
Acorn FileStore E01S,econet_e01s,,,Merged,
Acorn IEEE-488 Interface,bbc_ieee488,,,Merged,
Acorn Large 32016 2nd processor,bbc_tube_32016l,,,Merged,
Acorn M2105 Expansion,electron_m2105,,,Merged,
Acorn M4,am4,1988,Acorn Computers,Merged,
Acorn Plus 1 Expansion,electron_plus1,,,Merged,
Acorn Plus 3 Disc Expansion,electron_plus3,,,Merged,
Acorn System 1,acrnsys1,1979,Acorn Computers,Merged,
Acorn System 3 (6502 CPU),acrnsys3,1980,Acorn Computers,Merged,
Acorn System 5,acrnsys5,1982,Acorn Computers,Merged,
Acorn Z80 2nd Processor,bbc_tube_z80,,,Merged,
Acorn Z80 2nd Processor (Winchester),bbc_tube_z80w,,,Merged,
ACR-20 Digital Accompaniment Center,acr20,199?,Kawai Musical Instruments Manufacturing,Merged,
Acrobat Mission,acrobatm,1991,UPL (Taito license),Merged,
Acrobatic Dog-Fight,dogfgt,1984,Technos Japan,Merged,
ACS586,altos586,1984,Altos Computer Systems,Merged,
