Release Type,Name,Title,Foreign Title,Serial
Redump,"Armored Core - Formula Front (Japan, Asia)",Armored Core: Formula Front,アーマード・コア フォーミュラフロント,ULJS 00003
Redump,Armored Core - Formula Front (Korea),Armored Core: Formula Front,아머드 코어 포뮬러 프론트,ULKS-46003
Redump,Armored Core - Formula Front Extreme Battle (Europe),Armored Core: Formula Front Extreme Battle,,ULES-00219
Redump,Armored Core - Formula Front Extreme Battle (USA),Armored Core: Formula Front Extreme Battle,,ULUS-10034
Redump,"Armored Core - Formula Front International (Japan) (En,Ja)",Armored Core: Formula Front International,アーマード・コア フォーミュラフロント インターナショナル,ULJS-19001
Redump,Armored Core - Last Raven Portable (Japan),Armored Core: Last Raven Portable,アーマード・コア ラスト レイヴン ポータブル,ULJM 05611
Redump,Armored Core - Silent Line Portable (Japan),Armored Core: Silent Line Portable,アーマード・コア サイレントライン ポータブル,ULJM 05552
Redump,"Armored Core 3 Portable (Japan, Asia)",Armored Core 3 Portable,アーマード・コア３　ポータブル,UCAS 40268
Redump,"Armored Core 3 Portable (Japan, Asia)",Armored Core 3 Portable,アーマード・コア３　ポータブル,ULJM 05492
Redump,Arms' Heart (Japan),,,ULJM 05786
Redump,"Army of Two - The 40th Day (Europe) (En,Fr,De,Es,It)",Army of Two: The 40th Day,,ULES-01381
Redump,Army of Two - The 40th Day (USA),Army of Two: The 40th Day,,ULUS-10472
Redump,"Arnaqueur, L' (France)",L'Arnaqueur,The Con,ULES-00510
Redump,"Arthur and the Invisibles (USA) (En,Fr,Es) (Proto) (2007-03-19)",Arthur and the Invisibles,Arthur & the Invisibles,ULUS-10231
Redump,"Arthur and the Minimoys (Europe) (De,It)",Arthur and the Minimoys,Arthur and the Invisibles,ULES-00669
Redump,"Arthur and the Minimoys (Europe) (En,Fr,Es,Nl,Sv)",Arthur and the Minimoys,Arthur and the Invisibles,ULES-00668
Redump,"Arthur and the Minimoys (Europe) (En,Fr,Es,Nl,Sv) (Beta) (2007-01-17)",Arthur and the Minimoys,Arthur and the Invisibles,ULET-00435
Redump,Artlist Collection - The Dog Happy Life - Shiawase Wanko Seikatsu Dai-1-dan - McDonald's Ver. (Japan),Artlist Collection: The Dog Happy Life: Shiawase Wanko Seikatsu Dai-1-dan: McDonald's Ver.,Ａｒｔｌｉｓｔ　Ｃｏｌｌｅｃｔｉｏｎ　ＴＨＥ　ＤＯＧ　ＨＡＰＰＹ　ＬＩＦＥ　～幸せワンコ生活第１弾～　ＭｃＤｏｎａｌｄ’ｓ　Ｖｅｒ．,ULJM 95002
Redump,Artlist Collection - The Dog Happy Life - Shiawase Wanko Seikatsu Dai-1-dan (Japan),Artlist Collection: The Dog Happy Life: Shiawase Wanko Seikatsu Dai-1-dan,Ａｒｔｌｉｓｔ　Ｃｏｌｌｅｃｔｉｏｎ　ＴＨＥ　ＤＯＧ　ＨＡＰＰＹ　ＬＩＦＥ　～幸せワンコ生活第１弾～,ULJM 05122
Redump,"Asaki, Yumemishi (Japan)","Asaki, Yumemishi",あさき、ゆめみし,ROSE 00004
Redump,"Asaki, Yumemishi (Japan)","Asaki, Yumemishi",あさき、ゆめみし,ULJM 05870
Redump,"Asphalt - Urban GT 2 (Europe) (En,Fr,De,Es,It)",Asphalt: Urban GT 2,,ULES-00719
Redump,"Assassin's Creed - Bloodlines (Europe) (En,Fr,De,Es,It,Ru)",Assassin's Creed: Bloodlines,,ULES-01367
Redump,"Assassin's Creed - Bloodlines (Europe) (En,Fr,De,Es,It,Ru)",Assassin's Creed: Bloodlines,,ULES-01367/E
Redump,"Assassin's Creed - Bloodlines (Japan) (En,Ja)",Assassin's Creed: Bloodlines,アサシン クリード ブラッドライン,ULJM 05571
Redump,"Assassin's Creed - Bloodlines (Japan) (En,Ja)",Assassin's Creed: Bloodlines,アサシン クリード ブラッドライン,ULJM 05720
