Release Type,Name,Domestic Title,Overseas Title,Product No.,Date,Hardware Designation,Company Code,Disc Type,Version,I/O Devices,Region
Redump,Sengoku Denshou (Japan),戦国伝承,SENGOKU,T-24034,1993.DEC,SEGA MEGA DRIVE,(C)T-24,GM,0,J,J
Redump,"Sensible Soccer (Europe) (En,Fr,De,It)",SENSIBLE SOCCER,SENSIBLE SOCCER,T-93185,1994.JUN,SEGA MEGA-CD,(C)T-93,GM,0,J,E
Redump,Sewer Shark (Europe),SEWER SHARK,SEWER SHARK,T-06201,1993.JUL,SEGA GENESIS,(C)SEGA,GM,0,J,E
Redump,Sewer Shark (USA) (Not for Resale),SEWER SHARK,SEWER SHARK,T-06201,1993.JUN,SEGA GENESIS,(C)SEGA,GM,3,J,U
Redump,Sewer Shark (USA) (Not for Resale) (Alt 1),SEWER SHARK,SEWER SHARK,T-06201,1993.JUN,SEGA GENESIS,(C)SEGA,GM,3,J,U
Redump,Sewer Shark (USA) (Not for Resale) (Alt 2),SEWER SHARK,SEWER SHARK,T-06201,1993.JUN,SEGA GENESIS,(C)SEGA,GM,3,J,U
Redump,Shadow of the Beast II - Juushin no Jubaku (Japan),SHADOW OF THE BEAST TWO,SHADOW OF THE BEAST TWO,T-60034,1994.JUL,SEGA MEGA DRIVE,(C)T-60,GM,0,J,J
Redump,Shadow of the Beast II (USA),SHADOW OF THE BEAST TWO,SHADOW OF THE BEAST TWO,T-113045,1994.AUG,SEGA GENESIS,(C)T-113,GM,1,J,U
Redump,Shadowrun (Japan),SHADOWRUN,,T-66024,1993.AUG,SEGA MEGA DRIVE,(C)SEGA,GM,0,JM,J
Redump,Sherlock Holmes - Consulting Detective - Vol. II (Europe) (Disc 1),SHERLOCK HOLMES Consulting Det,SHERLOCK HOLMES Consulting Det,MK-4653,1993.APR,SEGA MEGA DRIVE,(C)SEGA,GM,0,J,E
Redump,Sherlock Holmes - Consulting Detective - Vol. II (Europe) (Disc 2),SHERLOCK HOLMES Consulting Det,SHERLOCK HOLMES Consulting Det,MK-4653,1993.APR,SEGA MEGA DRIVE,(C)SEGA,GM,0,J,E
Redump,Sherlock Holmes - Consulting Detective - Vol. II (USA) (Disc 1),SHERLOCK HOLMES Consulting Det,SHERLOCK HOLMES Consulting Det,MK-4653,1993.APR,SEGA GENESIS,(C)SEGA,GM,0,J,U
Redump,Sherlock Holmes - Consulting Detective - Vol. II (USA) (Disc 2),SHERLOCK HOLMES Consulting Det,SHERLOCK HOLMES Consulting Det,MK-4653,1993.APR,SEGA GENESIS,(C)SEGA,GM,0,J,U
Redump,Sherlock Holmes - Consulting Detective (USA),SherlockHolmes01,SherlockHolmes01,T-4501,1992.OCT,SEGA MEGA DRIVE,(C)ICOM,GM,-,J,J
Redump,Shin Megami Tensei (Japan),SIN MEGAMI        TENSEI,,T-044044,1994.JAN,SEGA MEGA DRIVE,(C)SIMS,GM,0,JM6,J
Redump,Shining Force CD (Europe),SHINING FORCE CD,SHINING FORCE CD,MK-4656,1995.FEB,SEGA MEGA DRIVE,(C)SEGA,GM,0,J,E
Redump,Shining Force CD (Japan),SHINING FORCE CD,SHINING FORCE CD,G-6036,1994.JUL,SEGA MEGA DRIVE,(C)SEGA,GM,0,J,J
Redump,Shining Force CD (USA) (3R),SHINING FORCE CD,SHINING FORCE CD,MK-4656,1995.FEB,SEGA GENESIS,(C)SEGA,GM,0,J,U
Redump,"Shining Force CD (USA) (5R, 6R)",SHINING FORCE CD,SHINING FORCE CD,MK-4656,1995.FEB,SEGA GENESIS,(C)SEGA,GM,0,J,U
Redump,Silpheed (Europe),SILPHEED,SILPHEED,MK-4423,1993.OCT,SEGA MEGA DRIVE,(C)T-45,GM,0,J,E
Redump,Silpheed (Japan),ＳＩＬＰＨＥＥＤ,,T-45054,1993.JUN,SEGA MEGA DRIVE,(C)T-45,GM,0,J,J
Redump,Silpheed (USA),ＳＩＬＰＨＥＥＤ,SILPHEED,MK-4419,1993.AUG,SEGA GENESIS,(C)T-45,GM,0,J,U
Redump,SimEarth (Japan),SIM EARTH,SIM EARTH,G-6008,1993.JAN,SEGA MEGA DRIVE,(C)SEGA,GM,0,J,J
