Release Type,Name,Game Title,Product Number,Version,Hardware Identifier,Marker ID,Release Date,Device Information,Compatible Peripherals,Compatible Area Symbols
Redump,Atlantis - The Lost Tales (France) (Disc 2),ATLANTIS CD2,MK-8109109,V1.200,SEGA SEGASATURN,SEGA ENTERPRISES,19980203,CD-2/2,J,E
Redump,Ayakashi Ninden Kunoichiban Plus (Japan) (Disc 1),AYAKASHI-KUNOITI,T-21512G,V1.002,SEGA SEGASATURN,SEGA TP T-215,19980302,CD-1/2,J,J
Redump,Ayakashi Ninden Kunoichiban Plus (Japan) (Disc 2),AYAKASHI-KUNOITI,T-21512G,V1.002,SEGA SEGASATURN,SEGA TP T-215,19980302,CD-2/2,J,J
Redump,Ayrton Senna Personal Talk - Message for the Future (Japan),Ayrton Senna Personal Talk -Message For The Future-,GS-9020,V1.000,SEGA SEGASATURN,SEGA ENTERPRISES,19950320,CD-1/1,J,JTU
Redump,Azel - Panzer Dragoon RPG (Japan) (Demo),J:AZEL PANZER DRAGOON RPG/U:PANZER DRAGOON SAGA,6106749,V0.191,SEGA SEGASATURN,SEGA ENTERPRISES,19970826,CD-1/1,AEJ,J
Redump,Azel - Panzer Dragoon RPG (Japan) (Disc 1) (1M),J:AZEL PANZER DRAGOON RPG       U:PANZER DRAGOON SAGA,GS-9076,V1.001,SEGA SEGASATURN,SEGA ENTERPRISES,19971201,CD-1/4,AEFJK,JT
Redump,Azel - Panzer Dragoon RPG (Japan) (Disc 1) (2M),J:AZEL PANZER DRAGOON RPG       U:PANZER DRAGOON SAGA,GS-9076,V1.001,SEGA SEGASATURN,SEGA ENTERPRISES,19971201,CD-1/4,AEFJK,JT
Redump,Azel - Panzer Dragoon RPG (Japan) (Disc 2) (1M),J:AZEL PANZER DRAGOON RPG       U:PANZER DRAGOON SAGA,GS-9076,V1.001,SEGA SEGASATURN,SEGA ENTERPRISES,19971201,CD-2/4,AEFJK,JT
Redump,Azel - Panzer Dragoon RPG (Japan) (Disc 2) (2M),J:AZEL PANZER DRAGOON RPG       U:PANZER DRAGOON SAGA,GS-9076,V1.001,SEGA SEGASATURN,SEGA ENTERPRISES,19971201,CD-2/4,AEFJK,JT
Redump,Azel - Panzer Dragoon RPG (Japan) (Disc 3) (1M),J:AZEL PANZER DRAGOON RPG       U:PANZER DRAGOON SAGA,GS-9076,V1.001,SEGA SEGASATURN,SEGA ENTERPRISES,19971201,CD-3/4,AEFJK,JT
Redump,Azel - Panzer Dragoon RPG (Japan) (Disc 3) (2M),J:AZEL PANZER DRAGOON RPG       U:PANZER DRAGOON SAGA,GS-9076,V1.001,SEGA SEGASATURN,SEGA ENTERPRISES,19971201,CD-3/4,AEFJK,JT
Redump,"Azel - Panzer Dragoon RPG (Japan) (Disc 4) (2M, 3M)",J:AZEL PANZER DRAGOON RPG       U:PANZER DRAGOON SAGA,GS-9076,V1.001,SEGA SEGASATURN,SEGA ENTERPRISES,19971201,CD-4/4,AEFJK,JT
Redump,Azel - Panzer Dragoon RPG (Japan) (Disc 4) (4M),J:AZEL PANZER DRAGOON RPG       U:PANZER DRAGOON SAGA,GS-9076,V1.001,SEGA SEGASATURN,SEGA ENTERPRISES,19971201,CD-4/4,AEFJK,JT
